comment_id;username;emoji;created_at
517043197;CwirL;+1;1578452348000
448359411;AngelOnFira;+1;1564500134000
391859522;jungckjp;confused;1540512075000
291973577;stormvirux;+1;1532358844000
291973577;stormvirux;hooray;1532358850000
291973577;stormvirux;heart;1532358856000
291973577;dhnza;+1;1540248495000
291973577;voidstarstar;+1;1550727641000
265499138;yrahul3910;+1;1509033185000
339554756;drewszurko;+1;1515567141000
339554756;vmg27;+1;1517067441000
339554756;arp1561;+1;1531488472000
339554756;csaund;+1;1532185384000
339554756;urwa;+1;1536601879000
339554756;UditSinghParihar;+1;1542036292000
339554756;UditSinghParihar;hooray;1542036296000
339554756;ahmedhamdy90;+1;1560088215000
339554756;mappindevs;heart;1568801705000
339554756;mappindevs;+1;1568801709000
339554756;mappindevs;hooray;1568801719000
449776182;margarineHound;+1;1565387078000
348061332;ktolstikhin;+1;1531990834000
175121549;saveman71;+1;1490473869000
145788671;Sayan-Paul;+1;1498067441000
145788671;chrisma;+1;1508711245000
123607701;lorey;+1;1472495231000
123607701;waigx;+1;1517988266000
280992272;Sayan-Paul;+1;1498067472000
157365714;hawkins;+1;1485889787000
157365714;zym1010;+1;1509620522000
157365714;isaykatsman;+1;1535944125000
157365714;GiovanniGabbolini;+1;1564740838000
157365714;gargrohin;+1;1570523447000
157365714;anuraag94;+1;1574211830000
84255137;hawkins;+1;1485889883000
585583679;zahin-mohammad;laugh;1584824475000
585583679;zahin-mohammad;hooray;1584824477000
585583679;zahin-mohammad;eyes;1584824478000
585583679;zahin-mohammad;rocket;1584824479000
585583679;zahin-mohammad;heart;1584824481000
585583679;zahin-mohammad;-1;1584824482000
585583679;zahin-mohammad;+1;1584824483000
610647329;emailtowa;+1;1586334823000
595237885;rumblefrog;confused;1586229830000
595237885;zavden;-1;1586251001000
595237885;Elteoremadebeethoven;-1;1586305789000
609886736;zavden;-1;1586251144000
609886736;Elteoremadebeethoven;-1;1586305792000
590498714;einarf;rocket;1585592981000
589568867;araffin;+1;1585404989000
605434438;mvfs314;+1;1585398199000
588937811;applemonkey496;+1;1585681160000
588606969;timalive;+1;1585469943000
588606969;einarf;+1;1585569505000
606136266;t-wolfeadam;+1;1585592811000
585583679;zahin-mohammad;laugh;1584824475000
585583679;zahin-mohammad;hooray;1584824477000
585583679;zahin-mohammad;eyes;1584824478000
585583679;zahin-mohammad;rocket;1584824479000
585583679;zahin-mohammad;heart;1584824481000
585583679;zahin-mohammad;-1;1584824482000
585583679;zahin-mohammad;+1;1584824483000
